bird,freq
agelastes_meleagrides,1
agelasticus_cyanopus,40
agelasticus_thilius,82
agelasticus_xanthophthalmus,9
aglaeactis_aliciae,14
aglaeactis_castelnaudii,2
aglaeactis_cupripennis,9
aglaeactis_pamela,7
aglaiocercus_berlepschi,2
aglaiocercus_coelestis,28
aglaiocercus_kingii,27
agraphospiza_rubescens,10
agriornis_albicauda,21
agriornis_lividus,9
agriornis_micropterus,1
agriornis_montanus,21
agriornis_murinus,1
agropsar_philippensis,18
agropsar_sturninus,14
ailuroedus_arfakianus,7
ailuroedus_astigmaticus,1
ailuroedus_crassirostris,27
ailuroedus_geislerorum,10
ailuroedus_jobiensis,1
ailuroedus_maculosus,54
ailuroedus_melanocephalus,1
ailuroedus_melanotis,11
ailuroedus_stonii,3
aimophila_notosticta,25
aimophila_rufescens,82
aimophila_ruficeps,200
aix_galericulata,107
aix_sponsa,74
akletos_goeldii,85
akletos_melanoceps,64
alaemon_alaudipes,40
alauda_arvensis,1513
alauda_gulgula,141
alauda_leucoptera,20
alauda_razae,1
alaudala_athensis,6
alaudala_cheleensis,58
alaudala_raytal,15
alaudala_rufescens,132
alaudala_somalica,12
alca_torda,80
alcedo_atthis,705
alcedo_coerulescens,13
alcedo_euryzona,2
alcedo_hercules,1
alcedo_meninting,26
alcedo_quadribrachys,5
alcedo_semitorquata,14
alcippe_brunnea,78
alcippe_brunneicauda,56
alcippe_castaneceps,32
alcippe_cinerea,29
alcippe_davidi,9
alcippe_dubia,21
alcippe_fratercula,36
alcippe_grotei,5
alcippe_hueti,36
alcippe_klossi,16
alcippe_morrisonia,25
alcippe_nipalensis,20
alcippe_peracensis,50
alcippe_poioicephala,96
alcippe_pyrrhoptera,28
alcippe_rufogularis,25
alcippe_variegaticeps,1
aleadryas_rufinucha,36
alectoris_barbara,17
alectoris_chukar,53
alectoris_graeca,49
alectoris_magna,13
alectoris_melanocephala,10
alectoris_philbyi,5
alectoris_rufa,263
alectroenas_madagascariensis,4
alectroenas_pulcherrimus,6
alectroenas_sganzini,2
alectrurus_risora,3
alectrurus_tricolor,1
alectura_lathami,25
alethe_castanea,19
alethe_diademata,24
alipiopsitta_xanthops,18
alisterus_chloropterus,5
alisterus_scapularis,38
alle_alle,9
allenia_fusca,10
alopecoenas_beccarii,7
alopecoenas_hoedtii,7
alopecoenas_sanctaecrucis,4
alopecoenas_stairi,1
alopecoenas_xanthonurus,3
alophoixus_finschii,15
alophoixus_flaveolus,41
alophoixus_frater,7
alophoixus_ochraceus,56
alophoixus_pallidus,53
alophoixus_phaeocephalus,57
alopochelidon_fucata,29
alopochen_aegyptiaca,211
amadina_erythrocephala,17
amadina_fasciata,16
amalocichla_incerta,32
amalocichla_sclateriana,11
amandava_amandava,66
amandava_subflava,19
amaurolimnas_concolor,80
amaurornis_akool,2
amaurornis_flavirostra,83
amaurornis_isabellina,12
amaurornis_magnirostris,4
amaurornis_moluccana,56
amaurornis_olivacea,9
amaurornis_olivieri,13
amaurornis_phoenicurus,162
amaurospiza_aequatorialis,16
amaurospiza_carrizalensis,1
amaurospiza_concolor,8
amaurospiza_moesta,59
amazilia_amabilis,57
amazilia_amazilia,71
amazilia_beryllina,77
amazilia_boucardi,9
amazilia_brevirostris,10
amazilia_candida,22
amazilia_castaneiventris,27
amazilia_chionogaster,76
amazilia_cyanifrons,21
amazilia_cyanocephala,20
amazilia_cyanura,3
amazilia_decora,18
amazilia_edward,9
amazilia_fimbriata,92
amazilia_franciae,70
amazilia_hoffmanni,6
amazilia_lactea,49
amazilia_leucogaster,13
amazilia_luciae,15
amazilia_rosenbergi,28
amazilia_rutila,44
amazilia_saucerottei,17
amazilia_tobaci,13
amazilia_tzacatl,172
amazilia_versicolor,55
amazilia_violiceps,81
amazilia_viridicauda,21
amazilia_viridifrons,1
amazilia_viridigaster,6
amazilia_wagneri,2
amazilia_yucatanensis,31
amazona_aestiva,113
amazona_agilis,8
amazona_albifrons,98
amazona_amazonica,146
amazona_arausiaca,2
amazona_auropalliata,34
amazona_autumnalis,134
amazona_barbadensis,4
amazona_brasiliensis,33
amazona_collaria,3
amazona_diadema,8
amazona_dufresniana,21
amazona_farinosa,268
amazona_festiva,28
amazona_finschi,59
amazona_guatemalae,35
amazona_guildingii,1
amazona_imperialis,1
amazona_kawalli,21
amazona_leucocephala,18
amazona_mercenarius,111
amazona_ochrocephala,130
amazona_oratrix,54
amazona_pretrei,15
amazona_rhodocorytha,32
amazona_tucumana,27
amazona_ventralis,4
amazona_versicolor,6
amazona_vinacea,59
amazona_viridigenalis,29
amazona_xantholora,11
amazonetta_brasiliensis,53
amblycercus_holosericeus,89
amblyornis_inornata,15
amblyornis_macgregoriae,8
amblyornis_subalaris,1
amblyospiza_albifrons,26
amblyramphus_holosericeus,74
ammodramus_aurifrons,106
ammodramus_bairdii,86
ammodramus_caudacutus,8
ammodramus_henslowii,92
ammodramus_humeralis,129
ammodramus_leconteii,105
ammodramus_maritimus,72
ammodramus_nelsoni,54
ammodramus_savannarum,216
ammomanes_cinctura,21
ammomanes_deserti,37
ammomanes_phoenicura,14
ammomanopsis_grayi,2
ammonastes_pelzelni,26
ammoperdix_griseogularis,4
ammoperdix_heyi,7
ampeliceps_coronatus,3
ampelioides_tschudii,40
ampelion_rubrocristatus,34
ampelion_rufaxilla,19
ampelornis_griseiceps,21
amphispiza_bilineata,207
amphispiza_quinquestriata,57
amytornis_ballarae,3
amytornis_barbatus,2
amytornis_dorotheae,3
amytornis_goyderi,6
amytornis_housei,1
amytornis_merrotsyi,6
amytornis_modestus,1
amytornis_purnelli,11
amytornis_striatus,9
amytornis_textilis,3
amytornis_woodwardi,1
anabacerthia_amaurotis,26
anabacerthia_lichtensteini,61
anabacerthia_ruficaudata,21
anabacerthia_striaticollis,89
anabacerthia_variegaticeps,69
anabathmis_hartlaubii,4
anabathmis_newtonii,14
anabathmis_reichenbachii,12
anabazenops_dorsalis,53
anabazenops_fuscus,98
anairetes_alpinus,12
anairetes_fernandezianus,9
anairetes_flavirostris,37
anairetes_nigrocristatus,25
anairetes_parulus,82
anairetes_reguloides,16
anaplectes_rubriceps,9
anarhynchus_frontalis,10
anas_acuta,146
anas_albogularis,5
anas_andium,25
anas_bahamensis,10
anas_bernieri,1
anas_capensis,4
anas_carolinensis,58
anas_castanea,6
anas_chlorotis,2
anas_crecca,616
anas_diazi,49
anas_eatoni,2
anas_erythrorhyncha,6
anas_flavirostris,45
anas_fulvigula,16
anas_georgica,41
anas_gibberifrons,8
anas_gracilis,35
anas_laysanensis,13
anas_luzonica,4
anas_melleri,6
anas_nesiotis,4
anas_platyrhynchos,860
anas_poecilorhyncha,27
anas_rubripes,19
anas_sparsa,8
anas_superciliosa,24
anas_undulata,31
anas_wyvilliana,6
anas_zonorhyncha,30
anastomus_lamelligerus,1
anastomus_oscitans,5
ancistrops_strigilatus,32
andigena_cucullata,13
andigena_hypoglauca,57
andigena_laminirostris,67
andigena_nigrirostris,117
androdon_aequatorialis,35
andropadus_importunus,259
androphobus_viridis,1
anhima_cornuta,88
anhinga_anhinga,60
anhinga_melanogaster,16
anhinga_novaehollandiae,12
anhinga_rufa,10
anisognathus_igniventris,158
anisognathus_lacrymosus,75
anisognathus_melanogenys,12
anisognathus_notabilis,27
anisognathus_somptuosus,60
anodorhynchus_hyacinthinus,77
anodorhynchus_leari,44
anomalospiza_imberbis,6
anopetia_gounellei,8
anorrhinus_austeni,8
anorrhinus_galeritus,35
anorrhinus_tickelli,16
